"year","T_prev_May","T_prev_Jun","T_prev_Jul","T_prev_Aug","T_prev_Sep","T_prev_Oct","T_prev_Nov","T_prev_Dec","T_Jan","T_Feb","T_Mar","T_Apr","P_prev_May","P_prev_Jun","P_prev_Jul","P_prev_Aug","P_prev_Sep","P_prev_Oct","P_prev_Nov","P_prev_Dec","P_Jan","P_Feb","P_Mar","P_Apr"
1952,77.1,81.3,87,94.2,81,76.4,62,55.5,47.4,46.3,54.6,66.3,4.67,5.55,19.22,1.61,4.77,3.3,4.33,2.11,2.98,3.16,6.56,8.27
1953,76.3,80.8,86.6,93,83.6,73,66,53.2,46.3,47.8,57.4,65.4,6.45,9.48,16.78,5.17,5.9,4.13,3.18,0.84,1.92,3.17,5.24,2.6
1954,75,79.6,85.9,89.8,82.7,74.4,60.1,55.3,49.2,52,56.2,69.6,9.17,14.9,15.44,6.47,15.6,2.22,1.48,2.04,4.05,2.37,3.22,5.36
1955,74,75.3,83.5,91.7,84,69.4,65.6,52.9,46.7,52.7,56.8,68.6,8.13,20.22,9.92,3.46,9.31,1.9,2.45,2.13,2.38,4.11,6.84,7.41
1956,75.1,83.2,90.8,91.3,83.5,71.6,61.9,56,47.8,47.9,56.8,65.6,5.12,6.89,7.95,5.77,4.92,5.11,3.49,0.93,1.33,2.35,7.81,6.74
1957,72.9,81.6,88.6,88.5,82.7,72.4,61.4,50.3,48.7,47.6,52,69.3,9.31,9.87,6.26,11.57,9.08,4.86,2.58,0.21,2.2,2.19,2.75,5.91
1958,72.3,80,84.9,90.5,77.9,72.9,65.6,53.7,48.1,50.9,56.6,67.3,4.93,9.89,13.22,6.81,12.16,1.84,1.65,2.63,3.32,3.04,2.5,6.49
1959,75.6,83.2,88.4,89.9,83.6,70.4,62.5,54.9,47.5,54.1,57.9,66.8,4.06,8.27,9.49,7.57,13.35,10.08,3.08,3.22,3.24,6.49,3.87,7.11
1960,76.1,80.9,89.9,91.3,86.3,73.8,64.5,54.7,48.7,53.4,58.6,64.8,5.7,3.48,7.61,17.81,10.58,4.41,3.97,3.84,1.59,1.07,2.78,5.86
1961,74.9,80.4,91.1,91.3,83.4,73.3,64.5,52.9,46.1,47.6,57.4,69.2,7.83,5.76,7.58,18.11,6.17,4.36,3.91,1.23,2.37,1.18,3.68,6.94
1962,77.1,81,91,92.8,88.3,76.1,64.3,54,47.2,51.3,56.4,66.8,6.27,19.61,8.59,4.22,3.34,13.07,2.01,1.16,2.19,0.56,1.25,7.04
1963,75.4,77.8,88.3,91.9,85.9,72.5,61.2,54.7,43.2,45,55.6,67.5,5.7,14.57,8.52,6.22,1.95,2.3,2.18,2.11,1.78,1.8,4.05,6.2
1964,73.6,82.1,90.5,89.5,79.2,71,62.7,54.3,49.5,45.5,53.5,72.9,12.69,11.31,7.29,9.3,3.19,4.02,1.65,0.74,3.52,2.87,3.72,7.06
1965,78.7,80.9,90.5,93.5,84,71.1,61.7,53.6,47.3,48.5,52.4,61.6,4.56,8.26,5.98,2.57,5.26,4.34,2.71,0.6,2.6,1.15,3.5,3.97
1966,75,81.2,86.5,93.2,80.8,72.9,63.3,50.6,47,53.1,56.7,66.3,11.98,11.06,14.92,1.25,17.37,3.32,3.52,2.48,0.95,3.65,6.77,5.5
1967,73.6,79.5,88.2,92.5,83.2,73.6,62.9,49.9,47.5,49.2,56.9,66.4,8.43,7.73,10.61,5.34,11.04,2.97,2.65,1.84,3.26,1.25,6.93,10.45
1968,81,84.3,88.1,93.6,84.3,71.7,63.2,49.9,46.9,45.9,56.6,68.5,2.96,4.23,17.55,1.94,2.03,5.37,3.07,0.67,1.54,2.7,4.35,3.74
1969,74.7,82,86,89.1,80.8,68.8,64.6,56.5,48.5,48.7,53.2,67.9,3.92,5.33,10.85,14.33,8.27,4.72,1.1,3.41,1.81,4.29,4.7,4.37
1970,78.3,79.9,87.5,92.5,85.8,72.4,61,51.5,47.6,50.9,50.4,64.6,3.31,15.83,10.83,5.28,2.13,3.03,3.11,1,2.07,2.66,2.54,7.01
1971,76.6,77.1,88.1,90.8,84.7,72.6,61.3,51.6,47.7,48.8,55.1,67.8,5.28,14.76,5.55,4.74,8.9,2.83,3.92,1.79,2.03,1.97,4.39,6.48
1972,75,80.6,88.7,89.3,80.9,70.1,63.5,53.8,52.2,50,57.6,67.6,6.79,5.22,12.17,6.24,15.3,5.81,0.26,2.72,2.93,3.86,5.98,4.69
1973,75.7,81.6,88.9,91.6,82.9,74.9,61.9,54,50.4,52.5,55.3,71.5,5.08,9.15,15.33,6.02,11.34,2.5,4.13,2.03,5.28,2.81,0.26,10.71
