"year","T_prev_May","T_prev_Jun","T_prev_Jul","T_prev_Aug","T_prev_Sep","T_prev_Oct","T_prev_Nov","T_prev_Dec","T_Jan","T_Feb","T_Mar","T_Apr","P_prev_May","P_prev_Jun","P_prev_Jul","P_prev_Aug","P_prev_Sep","P_prev_Oct","P_prev_Nov","P_prev_Dec","P_Jan","P_Feb","P_Mar","P_Apr"
1992,NA,NA,65.1,64.8,61.9,52.1,NA,46.8,47.4,48.6,52.1,52.5,NA,NA,NA,NA,0.18,NA,NA,5.6,11.99,2.98,1.07,3.54
1993,59.4,65.3,NA,66.5,58.9,NA,NA,38.3,37.1,43.4,47.8,50.8,1.04,1.84,1.54,0.94,1.9,8.27,6.83,NA,3.38,0.13,4.27,6.3
1994,59.9,62.1,63.7,66.8,62.5,56.2,45.2,NA,47,42.2,49.4,53.6,3.98,2.18,2.35,0.64,0.06,3.69,3.78,3.78,3.69,3.89,4.19,2.82
1995,59.7,60.9,67.7,67.5,63,54,43.5,42.3,44.5,45.3,47.7,52.2,1.36,3.23,1.37,1.79,1.5,NA,NA,NA,NA,NA,NA,NA
1996,61,NA,67.2,63.5,65.4,53,NA,NA,39.5,44.2,47,51.5,0.79,0.9,1.65,1.34,0.92,NA,NA,NA,NA,NA,NA,NA
1997,NA,62.3,NA,NA,NA,53.6,NA,38.9,43.1,49.1,47.7,54.8,1.68,NA,NA,0.63,2.06,0.94,NA,1.67,NA,NA,NA,2.39
1998,NA,66,NA,NA,62.1,51.4,49,42.8,40.1,45.7,47.1,51.9,3.45,NA,NA,2.25,NA,9.87,NA,7.87,NA,NA,NA,NA
1999,57.8,62.9,66.7,67.4,63.1,53.5,47.4,39.5,NA,42.4,44.4,50.2,2.8,0.5,2.2,0.37,0.43,9.5,13.9,NA,11.99,9.72,7.7,2.57
2000,53.2,57.5,62.4,64.3,60.7,52.5,46.5,NA,NA,44,45.2,NA,3.6,2.92,1.9,2.02,0.92,7.83,11.26,NA,NA,2.59,4.94,2.28
2001,54.7,61.2,64.4,64.4,60.9,53,44.9,41.1,43.2,42.5,46.1,49.6,4.24,3.1,3.62,0.39,2.79,5.2,3.22,3.46,NA,0.72,3.5,3.18
2002,55.6,59.6,64.6,64.7,60.6,51.4,48,40.8,40.6,NA,40.4,49.1,2.95,2.81,0.99,4.98,1.92,5.12,5.29,6.92,3.8,NA,0.01,0.09
2003,53.9,62.1,64.9,65.4,60.6,52.4,47.7,NA,44.5,42.7,NA,NA,0.39,2.31,1.59,0.61,0,0,2.08,NA,0.47,0,NA,NA
2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,57.6,63.8,68.2,66.2,58.7,52.7,44.2,42.6,40,43.6,47.6,51.2,0.05,0,0.03,0.02,0.53,0.02,0,0,0,NA,7.94,4.31
2006,58.7,60.2,65,67,59.8,52.1,43.4,42.3,42.9,42,44.1,NA,3.12,3.31,3.33,1.26,5.02,9.66,3.09,3.65,11.23,2.68,4.39,2.88
2007,56.4,62,66.2,64.7,61,52.7,42.4,41.6,38.6,42.7,44.6,48.8,3,3.61,0,0.3,2.32,3.79,16.57,6.43,12.85,4.86,10.37,5.56
2008,55.4,58.3,64.5,64.6,58.3,49.8,43.9,38.9,NA,NA,42.8,46,2.85,4.18,2.92,0.68,3.67,8.28,6.21,7.06,NA,NA,4.17,2.29
2009,55.2,58.2,64,63.8,60.3,51,46.6,35.7,35.9,41,41,48.9,2.18,1.91,2.49,6,1.21,9.5,8.93,5.32,0.87,1.83,4.69,2.34
2010,55.7,63.5,68.1,65.1,60.7,NA,44.9,38.1,44.8,45.4,46.6,49.5,0.43,0.01,0,0,0,2.67,13.65,3.13,8.92,2.84,2.95,2.43
2011,54.3,59.2,65.4,65.6,59.6,53.4,41.8,40.8,NA,38.5,43.9,45.8,2.08,1.09,0.01,0.94,4.62,4.64,2.3,6.22,NA,NA,5.68,3.46
2012,53,58.6,61.5,65.2,61.5,50.9,42.2,39.9,38.6,41.8,42.3,49.4,3.65,1.59,2.61,1.35,2.5,2.93,3.57,NA,NA,NA,NA,NA
2013,54.9,57.2,63.7,66.9,61.3,51.5,45.6,39.4,NA,NA,46.1,50.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,57.1,62.1,67.7,67,61.8,51.6,45.2,38.8,42.3,38.9,44.9,50.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.81
2015,58.7,62.6,68.4,68.9,63.4,56.2,45.5,43.4,43.6,47.9,48.9,50.8,2.29,0.98,2.29,1.54,3.11,8.47,NA,NA,NA,3.73,7.83,1.91
2016,60.9,67.5,68.6,67.1,58.7,56.1,44.8,42.2,42.1,45.7,48.4,55.1,0.19,0.25,1.57,3.09,2.78,3.61,6.94,NA,5.61,4.82,5.01,1.46
2017,59.3,61.9,65.6,67.2,59.7,52.2,48.7,36.5,38.9,40.6,43.8,49,2,2.35,2.01,0.54,3.15,6.76,8.5,NA,NA,NA,5.87,5.67
2018,56.1,61.1,66,67,63.3,52.3,44.7,40.4,42.7,39.3,45.2,NA,3.54,2.2,0.14,0.68,1.6,4.01,7.27,2.72,7.57,NA,3.64,NA
2019,59.8,60.7,68,67.1,59.3,52.4,47.7,42.5,43,36.2,46.3,50.8,0.09,2.5,0.46,0.28,5.34,3.43,9.34,8.94,6.53,NA,1.31,3.81
2020,59.6,63,66,66.8,61,50.1,46.6,41.9,39.9,41.4,43.9,50.6,1.07,NA,2.89,1.1,3.72,4.23,4.64,6.09,NA,3.09,2.56,1.04
2021,57.6,59.8,65.4,66.1,63.6,52.3,45.2,43.3,42.8,39.6,45.3,51.8,2.68,3.17,1.48,2.54,3.34,4.56,6.92,9.07,7.46,NA,3.1,2.24
2022,56.6,65,68.4,67.4,60.5,51.5,45.8,NA,NA,41.8,45.7,47.9,1.2,2.16,0.02,1.35,9.08,11.8,17.68,NA,NA,3.2,6.47,3.76
