"year","T_prev_May","T_prev_Jun","T_prev_Jul","T_prev_Aug","T_prev_Sep","T_prev_Oct","T_prev_Nov","T_prev_Dec","T_Jan","T_Feb","T_Mar","T_Apr","P_prev_May","P_prev_Jun","P_prev_Jul","P_prev_Aug","P_prev_Sep","P_prev_Oct","P_prev_Nov","P_prev_Dec","P_Jan","P_Feb","P_Mar","P_Apr","S_prev_May","S_prev_Jun","S_prev_Jul","S_prev_Aug","S_prev_Sep","S_prev_Oct","S_prev_Nov","S_prev_Dec","S_Jan","S_Feb","S_Mar","S_Apr"
1942,NA,NA,77.1,75.5,72.4,64.4,50.1,41.4,34.4,34.1,46.8,58.3,NA,NA,3.68,2.3,0.93,1,0.58,3.28,2.19,1.55,3.87,0.26,NA,NA,0,0,0,0,0,0,2,0,7.8,0
1943,68.4,74,78.6,74.8,70.3,59.8,47.7,34.4,35.8,38.2,44.6,51.1,3.51,3.73,4.31,11.61,2.65,8.18,1.92,4.26,2.37,2.02,3.86,2.88,0,0,0,0,0,0,0,5.7,6.8,1.9,6,0
1944,66.9,78.8,78,78.6,67.5,56.4,46.7,36.6,37.1,37.8,42.7,53.4,5.3,2.3,1.79,0.57,1.88,3.13,4.21,1.25,2.36,2.31,4.83,2.98,0,0,0,0,0,0,0,0,4,3.5,1,0
1945,70.7,74.5,78.2,75.8,70.6,56.7,47.5,34.2,30.9,38.4,55.5,59.4,1.11,2.77,5.62,6.02,4.97,2.39,3.14,2.97,2.69,2.8,0.65,3.13,0,0,0,0,0,0,0,1.9,2.7,3,0,0
1946,63.1,74.3,76.5,74.8,72.8,57.6,49.3,32.9,36.8,39.2,53.1,55.9,3.07,3.31,11.06,2.63,3.93,1.34,4.24,4.71,1.88,2.32,1.68,1.93,0,0,0,0,0,0,0,10.3,6.8,4.5,0,0
1947,65.3,72.4,76.2,72.5,70.4,61.4,52,41.5,41.7,31.5,40,57.1,7,1.41,3.14,5.75,2.72,2.77,1.33,1.73,3.81,1.27,1.02,2.48,0,0,0,0,0,0,0,2.2,4.1,10.3,3.4,0
1948,64.6,71.7,75.5,78.9,69.8,64.5,46.1,36.6,28.8,36.8,48,55.9,4.44,6.86,3.47,1.81,4.69,1.23,4.2,1.37,4.57,1.68,3.66,3.06,0,0,0,0,0,0,0,3.6,12.2,7.7,0,0
1949,64.6,73.9,78,75.8,69.4,56.1,51.4,40.1,42.6,43.9,46.7,55.1,8.87,5.44,4.31,9,3.19,3.1,6,4.69,5.08,2.69,3.42,1.94,0,0,0,0,0,0,0,4.4,7.4,4,0,0
1950,65.9,75.1,81,77.6,67.1,63.3,48.1,41.9,47.9,38.6,41.7,52.4,6.33,2.42,4.22,4.09,3.5,3.27,0.94,1.99,1.92,2.72,4.17,1.86,0,0,0,0,0,0,0,0,0.3,0,3.1,0
1951,64.5,73.9,76.2,75.6,66.9,61,47.9,35.5,39.3,38.5,45.5,55.9,5.77,3.13,5.1,7.32,6.74,3.59,2.87,2.72,2.18,2.65,2.92,3.49,0,0,0,0,0,0,1.6,3.8,0.8,3,1,0
1952,64.9,73.3,78.7,76.7,70.3,62.1,44.1,40.9,40.7,41.1,43.3,57,2.74,6.69,5.26,1.75,2.67,1.67,4.8,4.54,4.48,1.77,3.76,5.97,0,0,0,0,0,0,0,4.8,1.6,0,3.8,0
1953,64.2,76.9,80.5,76.2,68.9,55.3,48.2,38.8,40.7,42.6,47.5,56.1,4.73,3.06,4.46,5.2,4.06,0.66,6.33,2.96,4.13,2.35,7.44,4.76,0,0,0,0,0,0,1.7,2,1.3,0.2,3.1,0
1954,70,74.6,79.6,76.3,69.7,60.5,48.1,40.9,35.9,43.5,44.5,59.6,10.69,2.98,2.72,3.48,4.07,3.73,1.5,3.32,2.31,0.85,3.47,3.3,0,0,0,0,0,0,6.7,0,11.3,0,0,0
1955,62.6,74.4,78.7,75.2,73.3,62,45.2,37.1,35.4,37.7,47.1,58.2,2.98,1.24,1.7,3.16,0.63,4.06,1.78,2.82,0.32,3.13,3.7,2.57,0,0,0,0,0,0,0,0.1,2.3,4.2,0,0
1956,67.1,70.2,82.1,78.3,69.9,59.5,45.5,33.5,34.5,41.1,43.1,53.6,3.39,2.76,2.32,14.31,0.65,6.46,1.63,0.22,1.99,2.82,3.54,2.06,0,0,0,0,0,0,2.3,0.5,4.5,0,4,0
1957,63.6,73.3,75.5,74.9,66.6,59,46.1,44.1,32.9,41.4,45.8,59.2,2.17,2.66,5.89,1.94,3.7,2.62,2.81,3.02,2.61,2.75,2.24,2.74,0,0,0,0,0,0,0,0.2,10.1,1.6,2.2,0.1
1958,67.2,76.5,79.1,75.6,71.9,55.4,49.5,41.4,34.4,31.2,41.4,57.1,1.4,3.02,1.05,2.44,3.57,2.48,2.87,5.62,2.51,4.15,5.85,4.92,0,0,0,0,0,0,0.3,12,0.3,17.2,10.6,0
1959,65.2,71.3,79.1,75.4,69.1,59.1,49.8,32.9,34.9,39,45.4,58.4,2.77,3.22,7.15,6.49,2.57,2.35,2.04,1.62,2.21,1.51,2.2,4.01,0,0,0,0,0,0,0,0.9,4,0,0,0
1960,69.7,75.9,78.5,80.2,73.1,62.2,46.8,42,38.2,38.3,35.6,61.2,2.89,5.35,4.38,2.87,2.05,2.44,2.22,3.26,2.65,3.33,2.07,3.15,0,0,0,0,0,0,0,0,0,7.2,17,0
1961,63.7,74.1,77,78.5,71.3,58.7,48.4,31,29.8,38.3,47.6,52,4.36,2.52,4.61,4.14,4.18,2.55,0.99,2.43,3.12,5.71,4.18,3.25,0,0,0,0,0,0,0,8.7,13.6,18,0,0
1962,62.2,73.2,78.6,77.5,74.8,59.5,50.2,36.3,34.6,34.6,44.1,56.2,2.57,4.84,3.95,6.31,1.02,2.37,1.75,2.88,1.59,3.65,3.83,2.9,0,0,0,0,0,0,1.3,1.2,2,6.5,4,0
1963,68.6,73.8,75.3,76.7,66.9,60.3,44.9,33.2,31.4,31,48.5,57.8,3.46,2.44,1.63,0.55,2.64,1.93,5.12,3.33,1.86,1.94,5.43,0.99,0,0,0,0,0,0,0,16.2,2.1,2,1.1,0
1964,64.9,73.7,77.6,75.4,66.5,61.1,49.8,31.1,36.2,36.8,47.5,54,1.06,6.87,1.95,7.22,3.61,0,6.7,1.72,3.98,3.38,2.53,4.37,0,0,0,0,0,0,0,6.4,8.9,11.8,6.2,0.4
1965,68.1,76,79.1,75.5,69.9,55,51,39.9,33.4,36.8,41.4,51.8,1.46,1.3,1.87,1.89,3.06,1.34,1.43,2.87,2.73,1.89,4.37,1.65,0,0,0,0,0,0,0.2,0.5,9.1,1.9,5.4,0
1966,69.1,72.6,78.2,77.2,72.6,57.4,49.5,41.4,32.4,36.2,47.5,52.7,1.72,1.89,2.98,4.44,2.12,2.31,0.37,0.47,3.95,3.57,1.44,3.33,0,0,0,0,0,0,0,0.2,21.3,6.9,0,0
1967,65,76,80.9,78.7,68.6,57,49.5,37.5,41,34,44.9,57.6,2.75,2.02,0.93,1.67,6.87,4.72,1.5,3.28,1.35,2.32,3.49,0.8,0,0,0,0,0,0,0,16.1,1.3,19,0.7,0
1968,60,74.7,77.2,76.2,67.9,57.9,45,39.8,31.4,34.3,49.6,57.9,4.27,1.51,5.25,9.17,0.2,1.77,2.1,5.93,1.97,0.8,3.66,1.53,0,0,0,0,0,0,6.9,6.3,2.8,2.4,3,0
1969,63.7,74.1,79.9,79.2,72,61.2,49.9,36.6,34.2,36.9,43,58.6,4.24,7.41,1.31,3.95,2.97,3.17,3.62,2.22,1.7,2.08,1.61,1.72,0,0,0,0,0,0,0,0,0.2,2.2,6.7,0
1970,68.4,77.1,79.5,76.3,70.1,58.8,47.2,36.2,30,37.1,41.8,55.2,1.2,3.45,9.44,6.98,5.07,1.14,2.39,6.54,1.24,2.69,2.82,5.35,0,0,0,0,0,0,0,6.8,3.6,3.6,0,0
1971,68.3,75.2,79.2,78.9,75,62.5,49.3,39.7,31.3,39.1,43.2,55,2.79,2.81,8.12,1.09,1.57,2.05,5.77,3.33,1.85,5.44,1.94,2.1,0,0,0,0,0,0,0,5.2,4.8,0.3,1.4,0
1972,63.7,75.9,78.3,76.7,73,64.7,48.1,45.5,38.4,36.5,45.5,54.1,6.8,1.72,4.97,7.18,2.48,6.12,3.76,1.66,2.44,5.27,2.27,4,0,0,0,0,0,0,1.4,0.1,0.3,14.4,0,0.6
